country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
Portugal,Sugar Cane,Winter,88.63,2020,21.68,83.18
Slovakia,Cotton,Fall,75.62,2021,58.19,47.1
Togo,Apples,Fall,34.68,2020,58.17,75.11
Benin,Sugar Cane,Fall,38.67,2022,26.71,60.96
United Kingdom,Plam Oil,Spring,12.81,2021,52.94,11.09
Ireland,Cotton,Rainy Season,13.32,2021,17.02,82.26
Montenegro,Paddy,Fall,53.9,2020,60.63,26.49
Belgium,Cotton,Summer,32.32,2020,82.66,40.32
Tonga,Cotton,Spring,60.1,2022,14.16,62.23
Iran,Sugar Cane,Spring,43.44,2020,77.08,38.32
Japan,Plam Oil,Spring,76.98,2020,73.43,20.09
Georgia,Paddy,Winter,48.35,2020,83.94,66.99
Uruguay,Apples,Summer,30.1,2021,19.4,42.06
Panama,Maze,Summer,37.85,2021,92.46,42.59
Nigeria,Plam Oil,Fall,89.89,2020,40.35,34.91
Tonga,Apples,Rainy Season,82.25,2022,62.95,23.88
Paraguay,Cotton,Summer,25.3,2021,33.69,58.05
Tajikistan,Plam Oil,Fall,15.4,2022,50.29,59.35
Nepal,Paddy,Fall,53.42,2020,34.04,18.72
Sudan,Apples,Summer,61.13,2022,93.17,75.69
Italy,Wheat,Spring,88.72,2021,28.94,50.78
Malaysia,Apples,Rainy Season,12.03,2021,11.74,12.26
France,Paddy,Spring,43.92,2022,73.67,15.73
Bosnia and Herzegovina,Apples,Summer,15.07,2022,17.35,25.8
Fiji,Sugar Cane,Fall,54.41,2020,59.34,80.8
Kosovo,Paddy,Summer,30.3,2020,92.11,87.07
Lesotho,Apples,Winter,82.97,2022,29.81,56.6
Nicaragua,Wheat,Spring,10.41,2022,80.48,45.19
Costa Rica,Wheat,Rainy Season,20.17,2022,34.26,22.04
Burkina Faso,Paddy,Spring,58.03,2020,72.08,89.62
Mali,Paddy,Fall,75.05,2022,13.54,28.49
Belarus,Sugar Cane,Summer,29.19,2021,73.2,93.14
Moldova,Plam Oil,Rainy Season,38.69,2022,81.62,77.43
Seychelles,Paddy,Spring,82.88,2020,91.93,31.91
Zambia,Wheat,Winter,52.03,2021,56.07,38.49
Netherlands,Plam Oil,Summer,64.21,2021,29.11,52.05
Kosovo,Wheat,Rainy Season,42.41,2022,20.91,83.4
Tajikistan,Cotton,Rainy Season,36.01,2022,69.3,21.8
Kiribati,Wheat,Summer,10.35,2020,76.58,50.91
San Marino,Cotton,Rainy Season,87.5,2022,57.22,45.08
Saudi Arabia,Cotton,Fall,21.91,2020,78.91,23.9
Bangladesh,Wheat,Rainy Season,28.0,2022,14.85,40.83
Nauru,Paddy,Spring,92.77,2022,24.83,53.73
Albania,Paddy,Summer,66.85,2021,88.75,75.97
Trinidad and Tobago,Wheat,Summer,14.3,2022,44.56,10.89
Brazil,Wheat,Fall,70.15,2022,41.06,51.25
Bahrain,Apples,Winter,71.5,2022,68.71,80.11
United States,Maze,Rainy Season,40.78,2020,47.78,55.39
Eritrea,Maze,Winter,65.07,2020,91.56,54.81
Ireland,Cotton,Winter,52.07,2021,58.28,23.4
Paraguay,Cotton,Spring,55.29,2021,36.9,71.64
Turkmenistan,Apples,Rainy Season,76.44,2020,19.46,40.55
Jordan,Paddy,Spring,36.08,2020,29.2,49.37
Morocco,Sugar Cane,Winter,12.37,2021,64.5,48.38
Libya,Sugar Cane,Winter,45.51,2022,69.91,28.81
Yemen,Sugar Cane,Fall,84.42,2021,92.51,74.34
Kiribati,Paddy,Spring,30.6,2020,34.4,80.34
Israel,Wheat,Summer,82.73,2020,77.66,26.18
Mongolia,Cotton,Fall,10.61,2020,85.73,86.42
"Korea, North",Maze,Summer,34.15,2022,50.56,34.91
Honduras,Plam Oil,Fall,85.73,2020,14.47,39.32
North Macedonia,Cotton,Winter,12.15,2020,22.69,68.38
Trinidad and Tobago,Paddy,Fall,63.4,2020,56.15,61.44
Dominican Republic,Paddy,Spring,32.2,2022,88.09,67.64
Iceland,Apples,Spring,80.49,2021,75.56,23.3
Costa Rica,Plam Oil,Winter,67.36,2020,63.39,42.83
"Korea, North",Cotton,Rainy Season,53.85,2022,50.55,69.95
United Arab Emirates,Plam Oil,Rainy Season,19.5,2022,39.47,61.34
Seychelles,Maze,Summer,35.95,2021,41.18,78.52
Armenia,Wheat,Winter,28.91,2020,14.36,86.35
Thailand,Wheat,Winter,59.81,2020,81.28,78.29
Vietnam,Wheat,Rainy Season,13.98,2020,74.47,46.95
Estonia,Sugar Cane,Rainy Season,34.13,2021,82.17,68.29
El Salvador,Paddy,Rainy Season,62.88,2020,48.15,88.43
Japan,Plam Oil,Summer,44.5,2022,35.93,51.59
Kosovo,Plam Oil,Fall,88.95,2021,25.45,24.38
Sao Tome and Principe,Paddy,Summer,34.89,2022,17.08,80.89
Nicaragua,Cotton,Rainy Season,48.16,2021,70.08,45.34
Sweden,Plam Oil,Summer,70.83,2021,40.23,82.23
Bolivia,Apples,Rainy Season,66.89,2022,19.53,88.28
Panama,Cotton,Winter,68.33,2021,88.39,76.39
Mauritania,Wheat,Rainy Season,48.63,2021,64.37,15.82
Brazil,Maze,Spring,64.87,2022,41.73,73.5
Cyprus,Apples,Spring,38.12,2022,79.51,89.88
Benin,Sugar Cane,Rainy Season,52.16,2022,38.52,90.0
Jamaica,Maze,Rainy Season,22.12,2021,53.23,35.98
Moldova,Apples,Fall,74.14,2020,11.48,36.09
El Salvador,Maze,Fall,12.08,2020,46.29,54.33
Mauritania,Apples,Summer,85.06,2020,87.8,68.87
Peru,Apples,Spring,56.68,2022,64.17,32.63
Indonesia,Paddy,Winter,26.03,2020,88.01,79.29
Guyana,Apples,Rainy Season,92.37,2022,49.46,11.59
Tajikistan,Maze,Rainy Season,55.61,2022,22.33,67.0
Finland,Paddy,Summer,18.92,2021,35.94,20.04
Cambodia,Wheat,Summer,10.89,2020,59.44,62.86
Ecuador,Maze,Summer,63.94,2021,27.47,29.25
Guinea,Paddy,Spring,67.73,2021,17.17,62.18
Moldova,Wheat,Spring,44.07,2021,24.94,74.52
Poland,Plam Oil,Fall,21.77,2020,27.29,27.28
Guinea,Apples,Rainy Season,29.4,2021,76.39,81.71
Cyprus,Wheat,Summer,85.61,2021,14.47,22.33
Sao Tome and Principe,Wheat,Fall,30.84,2021,68.03,92.48
Slovakia,Wheat,Rainy Season,65.01,2020,56.07,80.26
Madagascar,Wheat,Winter,18.61,2020,41.33,46.28
Chad,Paddy,Winter,34.58,2021,75.92,40.2
Venezuela,Maze,Rainy Season,86.7,2020,71.13,61.55
Central African Republic,Wheat,Winter,21.34,2020,52.03,69.33
Syria,Sugar Cane,Winter,87.82,2022,19.58,31.98
Sweden,Cotton,Fall,41.16,2020,90.15,11.79
Brunei,Maze,Spring,49.71,2020,20.4,26.75
Ukraine,Maze,Spring,75.61,2022,32.56,88.47
"Congo, Democratic Republic of the",Paddy,Summer,40.91,2020,90.62,91.09
Greece,Plam Oil,Winter,57.82,2021,86.93,27.52
Yemen,Wheat,Winter,60.75,2022,20.09,58.15
Fiji,Paddy,Winter,64.13,2022,36.58,31.65
Azerbaijan,Maze,Rainy Season,52.26,2022,84.69,14.95
Iceland,Cotton,Winter,32.73,2022,37.18,37.23
Mauritania,Plam Oil,Rainy Season,49.33,2020,77.21,54.73
Lebanon,Maze,Winter,75.19,2022,11.74,13.17
Turkey,Wheat,Rainy Season,52.95,2021,46.49,18.13
Spain,Cotton,Spring,38.91,2020,44.08,14.88
Morocco,Plam Oil,Winter,36.94,2021,88.03,10.92
Malawi,Wheat,Rainy Season,78.82,2020,75.77,43.02
Nicaragua,Maze,Spring,74.64,2021,39.38,14.55
Zambia,Plam Oil,Rainy Season,48.09,2020,46.25,75.03
Bosnia and Herzegovina,Plam Oil,Rainy Season,69.63,2020,50.62,76.4
Brunei,Paddy,Rainy Season,28.72,2020,58.26,89.58
Uzbekistan,Plam Oil,Rainy Season,36.7,2022,59.26,79.71
Angola,Apples,Spring,58.73,2022,45.37,66.02
Oman,Apples,Fall,82.27,2022,20.83,15.33
East Timor (Timor-Leste),Cotton,Rainy Season,27.97,2022,21.94,24.83
Fiji,Cotton,Spring,65.16,2020,91.5,76.81
Tuvalu,Maze,Fall,41.39,2021,31.38,57.5
Egypt,Sugar Cane,Summer,42.88,2020,88.36,26.21
The Bahamas,Plam Oil,Winter,43.66,2022,89.77,29.64
Vatican City,Apples,Spring,43.56,2021,36.49,50.05
Togo,Sugar Cane,Summer,92.36,2022,52.97,80.3
Suriname,Wheat,Spring,70.3,2020,32.95,54.95
Saint Vincent and the Grenadines,Apples,Fall,22.89,2020,51.33,35.02
China,Sugar Cane,Summer,60.41,2021,34.06,40.18
Central African Republic,Maze,Fall,64.14,2021,11.89,16.65
Ireland,Apples,Winter,21.67,2020,16.92,82.13
Zimbabwe,Apples,Winter,17.08,2022,59.05,92.12
Luxembourg,Maze,Fall,36.45,2021,72.26,34.09
Albania,Plam Oil,Summer,49.24,2021,60.72,28.44
France,Maze,Winter,62.92,2020,57.38,38.85
Kenya,Plam Oil,Summer,35.44,2020,57.89,47.38
Bangladesh,Plam Oil,Fall,45.31,2020,73.29,43.99
Botswana,Wheat,Fall,42.65,2022,85.36,75.61
Slovenia,Paddy,Rainy Season,21.18,2022,90.56,81.29
Australia,Wheat,Summer,27.29,2022,11.87,64.47
Chad,Maze,Fall,30.37,2021,24.81,16.22
Italy,Sugar Cane,Spring,36.44,2022,56.07,83.76
Sudan,Sugar Cane,Summer,71.47,2022,14.0,35.34
United Arab Emirates,Wheat,Fall,43.9,2020,29.91,47.24
Vanuatu,Apples,Summer,59.86,2021,28.16,30.33
Nicaragua,Wheat,Winter,24.26,2021,40.75,64.74
Antigua and Barbuda,Wheat,Winter,41.03,2021,82.89,58.85
Yemen,Wheat,Fall,37.25,2020,76.06,78.42
Kosovo,Wheat,Fall,25.76,2021,49.59,11.79
Samoa,Plam Oil,Summer,32.95,2021,91.58,50.27
Eswatini,Apples,Summer,46.06,2021,74.39,36.83
"Korea, North",Plam Oil,Summer,89.98,2022,87.53,48.54
Djibouti,Apples,Spring,74.55,2022,15.43,88.33
The Bahamas,Sugar Cane,Spring,19.04,2022,74.02,59.89
Mauritius,Sugar Cane,Winter,12.4,2020,87.56,81.87
Mali,Maze,Fall,80.57,2020,46.35,75.36
Zimbabwe,Cotton,Summer,28.11,2022,85.33,89.82
Netherlands,Plam Oil,Fall,87.44,2022,53.36,15.28
Saint Lucia,Sugar Cane,Spring,51.12,2021,15.39,15.85
Turkmenistan,Apples,Winter,38.6,2022,84.11,24.11
Mauritius,Cotton,Fall,23.05,2022,63.48,69.73
Saint Vincent and the Grenadines,Plam Oil,Spring,67.55,2020,30.58,14.93
North Macedonia,Maze,Winter,41.53,2020,71.83,66.93
Angola,Plam Oil,Summer,17.69,2022,70.6,77.68
Latvia,Cotton,Summer,32.22,2021,59.85,14.33
Brazil,Wheat,Summer,10.77,2022,81.13,44.05
Marshall Islands,Maze,Winter,92.95,2020,36.89,85.83
Hungary,Sugar Cane,Fall,24.48,2022,16.29,47.47
"Congo, Republic of the",Cotton,Spring,31.12,2021,17.0,35.86
Afghanistan,Paddy,Rainy Season,17.56,2020,90.25,39.26
Lebanon,Wheat,Rainy Season,35.76,2021,19.45,15.21
Uganda,Maze,Spring,88.12,2020,48.78,10.67
Oman,Plam Oil,Fall,18.9,2022,82.36,82.04
Saint Lucia,Maze,Fall,11.72,2021,12.48,87.91
Paraguay,Sugar Cane,Winter,22.88,2020,56.36,79.15
Libya,Apples,Spring,63.41,2022,10.29,42.19
Panama,Paddy,Rainy Season,79.16,2020,92.23,55.56
North Macedonia,Maze,Winter,56.12,2022,67.01,49.79
Croatia,Wheat,Winter,26.62,2021,21.7,11.28
Belize,Plam Oil,Spring,45.14,2021,59.89,34.4
Djibouti,Sugar Cane,Rainy Season,74.48,2020,88.49,57.51
Pakistan,Wheat,Rainy Season,80.48,2020,29.6,34.01
Kyrgyzstan,Maze,Spring,29.87,2021,41.99,19.21
India,Cotton,Winter,74.67,2021,74.13,46.92
Croatia,Plam Oil,Fall,88.65,2020,72.17,40.09
Syria,Plam Oil,Fall,63.04,2021,28.41,53.38
Peru,Plam Oil,Summer,39.81,2022,16.01,53.62
Bosnia and Herzegovina,Apples,Winter,70.44,2020,82.29,22.51
Bhutan,Plam Oil,Rainy Season,63.39,2020,55.83,72.53
Vanuatu,Plam Oil,Winter,10.77,2021,16.56,52.4
Turkmenistan,Sugar Cane,Summer,40.42,2020,45.81,67.87
Saint Lucia,Cotton,Summer,86.84,2022,62.48,61.35
Kenya,Maze,Winter,43.35,2022,63.68,43.77
Estonia,Cotton,Fall,61.9,2021,64.52,67.36
Maldives,Cotton,Summer,35.72,2021,45.12,86.34
Vanuatu,Maze,Fall,54.76,2021,51.83,43.23
Lesotho,Plam Oil,Spring,66.91,2021,16.37,15.4
Bosnia and Herzegovina,Plam Oil,Fall,86.84,2020,53.41,46.59
Equatorial Guinea,Paddy,Winter,43.74,2021,72.32,60.12
Fiji,Apples,Summer,59.76,2021,51.29,46.06
Samoa,Wheat,Spring,93.08,2020,26.03,60.51
Brazil,Paddy,Winter,39.35,2020,87.69,88.01
Antigua and Barbuda,Wheat,Winter,65.27,2021,87.93,80.42
Kiribati,Sugar Cane,Winter,80.41,2020,45.55,56.61
Uganda,Wheat,Summer,24.53,2021,22.54,33.41
Panama,Cotton,Spring,92.05,2020,13.01,66.11
Japan,Wheat,Summer,50.47,2020,45.35,73.61
Lithuania,Apples,Summer,18.6,2021,17.09,85.12
Afghanistan,Apples,Spring,22.39,2020,34.12,30.15
Equatorial Guinea,Maze,Spring,65.23,2020,35.69,36.0
Burundi,Plam Oil,Winter,44.48,2020,76.32,14.23
Uganda,Cotton,Summer,76.19,2021,47.4,12.18
Bangladesh,Plam Oil,Rainy Season,18.53,2021,89.49,50.14
Somalia,Sugar Cane,Summer,11.53,2022,70.53,67.63
Vatican City,Maze,Spring,51.96,2022,61.52,85.15
Fiji,Sugar Cane,Fall,48.26,2021,29.42,87.32
Nauru,Wheat,Summer,68.21,2022,46.4,84.6
"Micronesia, Federated States of",Plam Oil,Rainy Season,69.37,2020,61.61,58.88
Panama,Sugar Cane,Rainy Season,30.45,2022,73.78,56.9
Cabo Verde,Sugar Cane,Spring,76.93,2020,34.02,23.94
Egypt,Sugar Cane,Fall,61.8,2020,17.9,67.8
Sudan,Apples,Summer,11.46,2020,78.36,64.86
France,Wheat,Summer,57.18,2020,73.81,42.79
Côte d’Ivoire,Wheat,Rainy Season,26.24,2022,84.81,29.55
Papua New Guinea,Paddy,Spring,90.55,2021,32.21,53.03
Saint Kitts and Nevis,Paddy,Summer,84.11,2021,39.37,23.68
Botswana,Maze,Summer,54.73,2022,11.57,59.7
Samoa,Apples,Spring,88.7,2020,88.53,85.13
Netherlands,Paddy,Spring,30.5,2022,43.28,31.32
Nepal,Apples,Winter,81.28,2022,68.6,72.92
Saint Vincent and the Grenadines,Sugar Cane,Summer,90.55,2021,74.98,87.04
Albania,Cotton,Winter,20.05,2021,52.48,49.26
Cameroon,Plam Oil,Spring,68.56,2020,47.18,60.17
Cyprus,Cotton,Winter,71.33,2022,23.46,20.93
Equatorial Guinea,Plam Oil,Summer,55.21,2020,78.11,86.24
Qatar,Cotton,Fall,28.15,2020,88.48,45.59
Liberia,Maze,Fall,28.38,2022,60.35,40.11
Belize,Paddy,Rainy Season,50.79,2022,72.11,88.89
Ethiopia,Wheat,Fall,62.59,2020,82.09,42.14
Bolivia,Wheat,Summer,72.95,2022,58.91,24.25
India,Cotton,Fall,60.86,2022,59.64,73.98
Seychelles,Wheat,Rainy Season,28.85,2022,30.55,60.79
Poland,Apples,Fall,74.36,2022,61.49,54.92
Kiribati,Plam Oil,Rainy Season,90.43,2022,85.7,69.81
Tajikistan,Cotton,Summer,71.86,2020,81.97,24.3
Jordan,Apples,Fall,21.91,2020,53.04,58.58
Switzerland,Apples,Summer,79.47,2022,77.89,11.39
Uzbekistan,Cotton,Spring,51.01,2022,12.44,84.05
Portugal,Plam Oil,Rainy Season,28.41,2020,11.22,71.8
Myanmar (Burma),Sugar Cane,Spring,92.71,2020,23.04,18.27
Canada,Sugar Cane,Fall,16.63,2020,35.43,73.32
Singapore,Maze,Winter,77.53,2022,39.5,90.22
Nicaragua,Paddy,Rainy Season,45.43,2021,80.37,60.51
Guatemala,Paddy,Winter,36.96,2021,68.56,54.01
Israel,Maze,Fall,67.42,2021,27.42,67.74
China,Sugar Cane,Winter,39.34,2020,81.21,76.49
Germany,Wheat,Winter,24.8,2022,35.49,29.68
Brazil,Wheat,Winter,63.27,2022,77.85,22.4
Chile,Paddy,Rainy Season,79.99,2021,47.81,51.27
Tuvalu,Paddy,Spring,86.5,2020,73.38,67.4
"Korea, North",Cotton,Winter,49.94,2020,88.96,92.99
"Sudan, South",Cotton,Fall,70.05,2022,20.34,23.05
Qatar,Apples,Winter,34.25,2022,48.79,78.89
Chile,Sugar Cane,Fall,31.12,2022,48.06,21.93
Benin,Paddy,Fall,81.52,2020,64.14,60.32
Uruguay,Sugar Cane,Rainy Season,30.1,2022,60.85,62.55
Uzbekistan,Maze,Spring,92.99,2020,77.75,29.6
Turkey,Plam Oil,Fall,73.09,2022,27.72,86.0
Hungary,Apples,Rainy Season,75.56,2021,76.42,29.11
Liberia,Paddy,Summer,28.56,2020,83.91,60.65
Latvia,Paddy,Winter,24.02,2020,21.38,61.5
Antigua and Barbuda,Cotton,Summer,77.05,2020,53.04,23.6
Denmark,Paddy,Rainy Season,52.52,2020,82.78,22.25
Cambodia,Paddy,Summer,48.25,2021,18.07,34.89
Ecuador,Maze,Spring,72.43,2021,42.77,28.06
Liechtenstein,Cotton,Winter,22.51,2020,85.56,90.12
Estonia,Plam Oil,Winter,76.17,2021,28.75,74.55
Jordan,Plam Oil,Fall,18.91,2020,63.21,35.39
Oman,Sugar Cane,Fall,53.36,2022,86.65,64.91
Ecuador,Maze,Summer,51.45,2022,22.05,43.37
